"Feature1","Feature2","Correlation"
"norm_F7","norm_F6",0.798294206368023
"norm_F6","norm_F5",0.778584769450453
"norm_F4","norm_F3",0.746216242044852
"norm_IR.LIGHT","norm_F7",-0.742516772914404
"norm_IR.LIGHT","norm_F6",-0.734934181283662
