parameter,value,interpreted_value
lr_log,-4.0,0.0001
l1_l2_log,-3.8655889876343377,0.000136
dropout_rate,0.0,0.0000
batch_size_idx,4.0,256
optimizer_idx,3.0,adagrad
hidden_size_1,256.0,256
hidden_size_2,48.0,48
hidden_size_3,194.0,194
hidden_size_4,173.0,173
use_batch_norm_num,1.0,TRUE
