parameter,value,interpreted_value
lr_log,-1.01036394022697,0.0976
l1_l2_log,-3.6675606126329443,0.000215
dropout_rate,0.02738261186301065,0.0274
batch_size_idx,2.0,64
optimizer_idx,1.0,sgd
hidden_size_1,149.0,149
hidden_size_2,154.0,154
hidden_size_3,69.0,69
hidden_size_4,256.0,256
use_batch_norm_num,0.0,FALSE
