parameter,value,interpreted_value
lr_log,-1.0994640294175198,0.0795
l1_l2_log,-5.0,0.000010
dropout_rate,0.7,0.7000
batch_size_idx,0.0,16
optimizer_idx,3.0,adagrad
hidden_size_1,8.0,8
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
