parameter,value,interpreted_value
lr_log,-4.0,0.0001
l1_l2_log,-1.0,0.100000
dropout_rate,0.0,0.0000
batch_size_idx,0.0,16
optimizer_idx,3.0,adagrad
hidden_size_1,163.0,163
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,196.0,196
use_batch_norm_num,1.0,TRUE
