parameter,value,interpreted_value
lr_log,-3.736906841201461,0.0002
l1_l2_log,-3.4930662209931445,0.000321
dropout_rate,0.0,0.0000
batch_size_idx,4.0,256
optimizer_idx,0.0,adam
hidden_size_1,256.0,256
hidden_size_2,76.0,76
hidden_size_3,256.0,256
hidden_size_4,256.0,256
use_batch_norm_num,1.0,TRUE
