parameter,value,interpreted_value
lr_log,-1.9658140843232883,0.0108
l1_l2_log,-4.361382897254662,0.000044
dropout_rate,0.7,0.7000
batch_size_idx,0.0,16
optimizer_idx,2.0,rmsprop
hidden_size_1,89.0,89
hidden_size_2,256.0,256
hidden_size_3,256.0,256
hidden_size_4,210.0,210
use_batch_norm_num,1.0,TRUE
