parameter,value,interpreted_value
lr_log,-0.3,0.5012
l1_l2_log,-5.0,0.000010
dropout_rate,0.05257097753138583,0.0526
batch_size_idx,2.0,64
optimizer_idx,3.0,adagrad
hidden_size_1,230.0,230
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
