parameter,value,interpreted_value
lr_log,-0.3,0.5012
l1_l2_log,-2.0487082247051207,0.008939
dropout_rate,0.7,0.7000
batch_size_idx,4.0,256
optimizer_idx,3.0,adagrad
hidden_size_1,124.0,124
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
