"feature","mean","median","sd","min","max","q25","q75"
"norm_F1",0.0313101023834525,0.0318602313188175,0.0210150991817102,0,0.353553390593274,0.0206484484965872,0.0408852122437965
"norm_F2",0.071665842731092,0.0691209821889583,0.0444121485476521,0,1,0.0499636280374267,0.0860609850480706
"norm_F3",0.0845895190865335,0.0839003866895428,0.0414300988697586,0,0.447213595499958,0.060762985324272,0.104279848422577
"norm_F4",0.14253776306864,0.139511431795653,0.0570676335593539,0,0.458831467741124,0.117146242113043,0.165979577379223
"norm_F5",0.219962929640148,0.209165990756493,0.0935122167537275,0,1,0.159035724360223,0.280792612645599
"norm_F6",0.28946469447721,0.267549805167447,0.139457121855927,0,1,0.184042821401037,0.389790907048288
"norm_F7",0.327854576123881,0.308523963959713,0.147416903231531,0,1,0.218459479500304,0.428589513651678
"norm_F8",0.287424652881778,0.264905796611438,0.146683141412017,0,1,0.215286403280753,0.310062688742974
"norm_CLEAR",0.629582344096595,0.752025790571505,0.28449687432272,0,0.966781666814646,0.672045894333479,0.793837630270288
"norm_IR.LIGHT",0.199565706917285,0.132125358763789,0.219618435232548,0,0.99805568527585,0,0.367438204290576
"Intensity",0.279273559209811,0.049965935975099,1.24334218188323,0.0001,38.7284747082815,0.0138025359846044,0.175082234308296
