"","F1","F2","F3","F4","F5","F6","F7","F8","CLEAR","IR.LIGHT"
"F1",1,0.998995353556343,0.995290898641336,0.991050682087972,0.985809704589294,0.98522502853831,0.976151615779688,0.976519031372998,0.993600970612493,0.972030022677421
"F2",0.998995353556343,1,0.997766063565711,0.994354453674693,0.98968711909317,0.988303868420746,0.977939974433689,0.976807672787579,0.99203067212996,0.963603230386307
"F3",0.995290898641336,0.997766063565711,1,0.99888651606699,0.995874316188022,0.994324981263109,0.984653308762664,0.983408354704351,0.991602331653969,0.951005129053586
"F4",0.991050682087972,0.994354453674693,0.99888651606699,1,0.998495490416521,0.997363381790779,0.988602423500761,0.987586519992128,0.991439300802975,0.945713797310182
"F5",0.985809704589294,0.98968711909317,0.995874316188022,0.998495490416521,1,0.999305233190232,0.990990545258454,0.989231446624556,0.989762569463063,0.939340215391177
"F6",0.98522502853831,0.988303868420746,0.994324981263109,0.997363381790779,0.999305233190232,1,0.993851875520431,0.992704864809677,0.991897978790932,0.943611077149917
"F7",0.976151615779688,0.977939974433689,0.984653308762664,0.988602423500761,0.990990545258454,0.993851875520431,1,0.997496509919602,0.988735740581007,0.937247814413361
"F8",0.976519031372998,0.976807672787579,0.983408354704351,0.987586519992128,0.989231446624556,0.992704864809677,0.997496509919602,1,0.991650644301474,0.946334203580501
"CLEAR",0.993600970612493,0.99203067212996,0.991602331653969,0.991439300802975,0.989762569463063,0.991897978790932,0.988735740581007,0.991650644301474,1,0.975758451599738
"IR.LIGHT",0.972030022677421,0.963603230386307,0.951005129053586,0.945713797310182,0.939340215391177,0.943611077149917,0.937247814413361,0.946334203580501,0.975758451599738,1
