parameter,value,interpreted_value
lr_log,-4.0,0.0001
l1_l2_log,-3.806732098072249,0.000156
dropout_rate,0.0,0.0000
batch_size_idx,0.0,16
optimizer_idx,0.0,adam
hidden_size_1,197.0,197
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,40.0,40
use_batch_norm_num,1.0,TRUE
