parameter,value,interpreted_value
lr_log,-2.6727660671479683,0.0021
l1_l2_log,-5.0,0.000010
dropout_rate,0.139960917865709,0.1400
batch_size_idx,3.0,128
optimizer_idx,2.0,rmsprop
hidden_size_1,218.0,218
hidden_size_2,202.0,202
hidden_size_3,250.0,250
hidden_size_4,214.0,214
use_batch_norm_num,0.0,FALSE
