"","PHO","MEDI","SC","MC","LC","RH"
"PHO",1,0.997894782440447,0.991890315413868,0.999767287856263,0.999986456132859,0.998528076918317
"MEDI",0.997894782440447,1,0.997400758695302,0.998958534272563,0.997857523477985,0.999926352089474
"SC",0.991890315413868,0.997400758695302,1,0.99387064997647,0.99193006346045,0.996561628266111
"MC",0.999767287856263,0.998958534272563,0.99387064997647,1,0.999708315645839,0.999407818247254
"LC",0.999986456132859,0.997857523477985,0.99193006346045,0.999708315645839,1,0.998474220138561
"RH",0.998528076918317,0.999926352089474,0.996561628266111,0.999407818247254,0.998474220138561,1
