"Id","X630_mean","X555_mean","X515_mean","X590_mean","X480_mean","X680_mean","X630_sd","X555_sd","X515_sd","X590_sd","X480_sd","X680_sd"
"201",0.00562461963593036,0.00551434542786964,0.00555124363184702,0.00484513416260655,0.0050208681925381,0.00392669725107917,0.00949458844003537,0.00936628810560536,0.00972736984547838,0.00817535360002018,0.0090809935257034,0.00695964354410584
"202",0.00082735060045,0.000723173563882738,0.000703426546160714,0.000649963669678571,0.0005646266164625,0.000452164433191667,0.00162197134842124,0.00159976414853125,0.00160874655747208,0.00132747955804069,0.0014308872551225,0.00110706918674393
"204",0.014530699129026,0.0117850924721168,0.0114513625352694,0.0108816536452746,0.0109945467803491,0.0100065472124376,0.0534216120546702,0.0424238728680859,0.0402350586209018,0.0402487487546809,0.0380475398117112,0.0386259483873718
"205",0.00568781001042093,0.00478175377628488,0.00488387356795349,0.00436904254104593,0.00450364524031512,0.00381113214327151,0.0154771271494355,0.0121458692020465,0.0128575273567456,0.0113059939289415,0.0121800583558431,0.0108001782248014
"206",0.000728407543645614,0.00052842236095614,0.000464450552691813,0.000559042725238596,0.000362990883460819,0.00042678295201345,0.00128417240318465,0.00105478649966221,0.00096138403156187,0.00101704909401414,0.00085278427597884,0.000894985576885785
"208",0.00179113363339167,0.00151427534303333,0.00138870150736667,0.00159555428340655,0.00104548800238869,0.00103025919073929,0.00460279861701517,0.00380811164441021,0.00368947943106172,0.00411111224855622,0.00306819826197306,0.00364608642375431
"209",0.00208292185048869,0.00204555983025179,0.00200788054311369,0.00192548503547619,0.00166777598056369,0.00154690529631726,0.0036119788544294,0.00368260292146858,0.00369711317524788,0.00341686481826928,0.0032442284148899,0.0030738554883372
"210",0.00398271885095118,0.00446579405131,0.00430183903479588,0.00392565513445118,0.00455682100442941,0.00297187770244941,0.00708290108068308,0.00802415333521105,0.00773646264218626,0.00720439576703579,0.00839593515367397,0.00572882900438072
"212",0.00295985884983374,0.00282660716477048,0.00281354494381386,0.00256084473566626,0.00236194217740482,0.00196273499020422,0.0095260939303505,0.00829468305647633,0.00841934703005076,0.00751058427277378,0.00764681018119178,0.00659409581643928
"213",0.00144560485241617,0.00138773795361018,0.00129367269275509,0.00126220643740898,0.00106668304159581,0.000894585662824551,0.00396330967531188,0.00387304986256403,0.00374298303251045,0.00330910984206354,0.00358126382862319,0.00288091917699549
"214",0.003484517823056,0.00275960516384171,0.002546294054716,0.00277989055668857,0.00253758212050571,0.00235515019272743,0.00728783537405735,0.00574458777266054,0.00534394755980151,0.00595816899317432,0.0053865876599248,0.00523201399807978
"215",0.00357250160692471,0.00315080183904059,0.00306542772818471,0.00306573583814118,0.00274144280880176,0.00261865563342294,0.0204640165921628,0.0172598642909159,0.017337659284807,0.0175446837285485,0.0156553543625089,0.0164970244613114
"216",0.00729814464438908,0.0047335563317546,0.0047338963533454,0.00416881630914368,0.00427474966831609,0.00449635764731609,0.0306790688206171,0.0247748608313789,0.0248650235714114,0.0242442652448487,0.0220382097083474,0.0230135939355677
"218",0.00125085474507941,0.00120787932951294,0.00109995269749176,0.00115763268526529,0.000777131877465294,0.000641304797552941,0.00180370244057296,0.00178974360389541,0.00166310890335401,0.00177847050548976,0.00150727616855437,0.00130951948772806
"219",0.00353360538737674,0.00407820309167151,0.00375580445222267,0.00386530865080116,0.00322377134983605,0.00287862909751919,0.0242847513976538,0.0264466883876179,0.0249752547878088,0.0256564200085784,0.0220573176316299,0.0210793545783398
