parameter,value,interpreted_value
lr_log,-0.35804437516451504,0.4385
l1_l2_log,-5.0,0.000010
dropout_rate,0.6676513782266419,0.6677
batch_size_idx,1.0,32
optimizer_idx,1.0,sgd
hidden_size_1,256.0,256
hidden_size_2,178.0,178
hidden_size_3,170.0,170
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
