parameter,value,interpreted_value
lr_log,-2.7385006924991924,0.0018
l1_l2_log,-4.554712611072937,0.000028
dropout_rate,0.0,0.0000
batch_size_idx,4.0,256
optimizer_idx,3.0,adagrad
hidden_size_1,256.0,256
hidden_size_2,0.0,0
hidden_size_3,0.0,0
hidden_size_4,60.0,60
use_batch_norm_num,1.0,TRUE
