parameter,value,interpreted_value
lr_log,-2.2336560187357346,0.0058
l1_l2_log,-1.0,0.100000
dropout_rate,0.7,0.7000
batch_size_idx,2.0,64
optimizer_idx,0.0,adam
hidden_size_1,256.0,256
hidden_size_2,30.0,30
hidden_size_3,0.0,0
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
