parameter,value,interpreted_value
lr_log,-1.6528642146492394,0.0222
l1_l2_log,-1.0,0.100000
dropout_rate,0.0,0.0000
batch_size_idx,0.0,16
optimizer_idx,1.0,sgd
hidden_size_1,80.0,80
hidden_size_2,256.0,256
hidden_size_3,243.0,243
hidden_size_4,1.0,1
use_batch_norm_num,1.0,TRUE
