"threshold_lux","threshold_log","indoor_precision","outdoor_precision","overall_accuracy","sensitivity","specificity","f1_score","auc"
10,1,0.879518072289157,0.202020202020202,0.463565891472868,0.727272727272727,0.409345794392523,0.316205533596838,0.616270178419711
11,1.04139268515823,0.882352941176471,0.205128205128205,0.472868217054264,0.727272727272727,0.420560747663551,0.32,0.616270178419711
12,1.07918124604762,0.884328358208955,0.209549071618037,0.489922480620155,0.718181818181818,0.442990654205607,0.324435318275154,0.616270178419711
13,1.11394335230684,0.880434782608696,0.208672086720867,0.496124031007752,0.7,0.454205607476636,0.321503131524008,0.616270178419711
14,1.14612803567824,0.878136200716846,0.207650273224044,0.497674418604651,0.690909090909091,0.457943925233645,0.319327731092437,0.616270178419711
15,1.17609125905568,0.878472222222222,0.210084033613445,0.508527131782946,0.681818181818182,0.472897196261682,0.321199143468951,0.616270178419711
16,1.20411998265592,0.873720136518771,0.207386363636364,0.510077519379845,0.663636363636364,0.478504672897196,0.316017316017316,0.616270178419711
17,1.23044892137827,0.876254180602007,0.210982658959538,0.51937984496124,0.663636363636364,0.489719626168224,0.320175438596491,0.616270178419711
18,1.25527250510331,0.875,0.211143695014663,0.524031007751938,0.654545454545455,0.497196261682243,0.319290465631929,0.616270178419711
19,1.27875360095283,0.87378640776699,0.211309523809524,0.528682170542636,0.645454545454546,0.504672897196262,0.318385650224215,0.616270178419711
20,1.30102999566398,0.873417721518987,0.212765957446809,0.536434108527132,0.636363636363636,0.51588785046729,0.318906605922551,0.616270178419711
21,1.32221929473392,0.874213836477987,0.214067278287462,0.53953488372093,0.636363636363636,0.519626168224299,0.320366132723112,0.616270178419711
22,1.34242268082221,0.875389408099688,0.216049382716049,0.544186046511628,0.636363636363636,0.525233644859813,0.32258064516129,0.616270178419711
23,1.36172783601759,0.875776397515528,0.21671826625387,0.545736434108527,0.636363636363636,0.527102803738318,0.323325635103926,0.616270178419711
24,1.38021124171161,0.871559633027523,0.213836477987421,0.547286821705426,0.618181818181818,0.532710280373832,0.317757009345794,0.616270178419711
25,1.39794000867204,0.872340425531915,0.215189873417722,0.550387596899225,0.618181818181818,0.536448598130841,0.31924882629108,0.616270178419711
26,1.41497334797082,0.872727272727273,0.215873015873016,0.551937984496124,0.618181818181818,0.538317757009346,0.32,0.616270178419711
27,1.43136376415899,0.874626865671642,0.219354838709677,0.55968992248062,0.618181818181818,0.547663551401869,0.323809523809524,0.616270178419711
28,1.44715803134222,0.875370919881306,0.220779220779221,0.562790697674419,0.618181818181818,0.551401869158878,0.325358851674641,0.616270178419711
29,1.46239799789896,0.876470588235294,0.222950819672131,0.567441860465116,0.618181818181818,0.557009345794393,0.327710843373494,0.616270178419711
30,1.47712125471966,0.87536231884058,0.223333333333333,0.572093023255814,0.609090909090909,0.564485981308411,0.326829268292683,0.616270178419711
31,1.49136169383427,0.876080691642651,0.224832214765101,0.575193798449612,0.609090909090909,0.568224299065421,0.32843137254902,0.616270178419711
32,1.50514997831991,0.875,0.225255972696246,0.57984496124031,0.6,0.575700934579439,0.327543424317618,0.616270178419711
33,1.51851393987789,0.875354107648725,0.226027397260274,0.581395348837209,0.6,0.577570093457944,0.328358208955224,0.616270178419711
34,1.53147891704226,0.873949579831933,0.225694444444444,0.584496124031008,0.590909090909091,0.583177570093458,0.326633165829146,0.616270178419711
35,1.54406804435028,0.872222222222222,0.224561403508772,0.586046511627907,0.581818181818182,0.586915887850467,0.324050632911392,0.616270178419711
36,1.55630250076729,0.872576177285319,0.225352112676056,0.587596899224806,0.581818181818182,0.588785046728972,0.3248730964467,0.616270178419711
37,1.56820172406699,0.873972602739726,0.228571428571429,0.593798449612403,0.581818181818182,0.596261682242991,0.328205128205128,0.616270178419711
