parameter,value,interpreted_value
lr_log,-1.5619388524431295,0.0274
l1_l2_log,-5.0,0.000010
dropout_rate,0.7,0.7000
batch_size_idx,3.0,128
optimizer_idx,3.0,adagrad
hidden_size_1,256.0,256
hidden_size_2,34.0,34
hidden_size_3,256.0,256
hidden_size_4,0.0,0
use_batch_norm_num,1.0,TRUE
