parameter,value,interpreted_value
lr_log,-3.3988608683116213,0.0004
l1_l2_log,-1.0,0.100000
dropout_rate,0.00015047283516305326,0.0002
batch_size_idx,1.0,32
optimizer_idx,0.0,adam
hidden_size_1,255.0,255
hidden_size_2,228.0,228
hidden_size_3,187.0,187
hidden_size_4,104.0,104
use_batch_norm_num,1.0,TRUE
