parameter,value,interpreted_value
lr_log,-3.2079369729976097,0.0006
l1_l2_log,-3.6819185902419203,0.000208
dropout_rate,0.6668962072109859,0.6669
batch_size_idx,2.0,64
optimizer_idx,1.0,sgd
hidden_size_1,161.0,161
hidden_size_2,130.0,130
hidden_size_3,205.0,205
hidden_size_4,196.0,196
use_batch_norm_num,1.0,TRUE
