parameter,value,interpreted_value
lr_log,-0.3,0.5012
l1_l2_log,-5.0,0.000010
dropout_rate,0.0,0.0000
batch_size_idx,3.0,128
optimizer_idx,3.0,adagrad
hidden_size_1,128.0,128
hidden_size_2,44.0,44
hidden_size_3,2.0,2
hidden_size_4,28.0,28
use_batch_norm_num,1.0,TRUE
