parameter,value,interpreted_value
lr_log,-2.6816600302714324,0.0021
l1_l2_log,-4.451949700530935,0.000035
dropout_rate,0.06859314235946444,0.0686
batch_size_idx,3.0,128
optimizer_idx,2.0,rmsprop
hidden_size_1,218.0,218
hidden_size_2,97.0,97
hidden_size_3,204.0,204
hidden_size_4,167.0,167
use_batch_norm_num,1.0,TRUE
