data,log,l2,pca,hour,split,target,binary,imbalance,trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
alpha,FALSE,Exclude Intensity,FALSE,TRUE,stratified,location,TRUE,smote_tomek,32,0.6688663449226828,-2.5231815131081294,-4.389284943981965,0.06571447261190143,0,0,40,255,104,35,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,parwise,light_type,TRUE,None,33,0.8542961344006741,-1.6563904418700357,-1,0.7,4,0,200,256,0,256,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,parwise,light_type,TRUE,smote_tomek,23,0.8618667052875499,-1.5954830810872385,-2.9140601895699625,0.2827703323293756,0,1,35,9,68,185,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,parwise,location,TRUE,None,31,0.6217545239968528,-2.720425723994153,-1.603941002513011,0.45920492714524425,3,1,203,0,0,28,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,parwise,location,TRUE,smote_tomek,17,0.6308271046420142,-3.806059950967757,-5,0.4955258311890616,3,2,84,83,0,66,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,stratified,light_type,TRUE,None,20,0.8541142952907659,-2.940371336413146,-5,0.16551203833100492,4,0,256,0,256,11,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,stratified,light_type,TRUE,smote_tomek,43,0.8319591084296967,-0.6381475405112189,-4.930802265569992,0.1802621658243643,4,1,233,10,39,50,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,stratified,location,TRUE,None,45,0.6019895597360386,-2.624046176230108,-3.8660679476405666,0.6373544042511957,2,2,44,175,49,0,1
alpha,FALSE,Exclude Intensity,FALSE,FALSE,stratified,location,TRUE,smote_tomek,23,0.6191601825404642,-1.1538456534049844,-4.874213658656272,0.5541077070977796,2,2,164,34,120,222,1
alpha,FALSE,Exclude Intensity,TRUE,TRUE,parwise,light_type,TRUE,None,17,0.9242679587107646,-1.5750656732486208,-1,0.5216626307001685,3,1,37,0,256,72,1
alpha,FALSE,Exclude Intensity,TRUE,TRUE,parwise,light_type,TRUE,smote_tomek,48,0.9014706656835896,-2.3871962485648273,-1,0.7,4,2,8,256,222,196,1
alpha,FALSE,Exclude Intensity,TRUE,TRUE,parwise,location,TRUE,None,28,0.6466242132179386,-1.44083984137372,-3.1524546214477507,0.6000196158022421,3,3,256,123,11,133,0
alpha,FALSE,Exclude Intensity,TRUE,TRUE,parwise,location,TRUE,smote_tomek,28,0.6504966561762391,-1.107006507379766,-5,0.07669932759420862,4,1,33,206,83,0,0
alpha,FALSE,Exclude Intensity,TRUE,TRUE,stratified,light_type,TRUE,None,49,0.911429529076588,-2.1214272443279856,-5,0,2,3,139,256,101,0,1
alpha,FALSE,Exclude Intensity,TRUE,TRUE,stratified,light_type,TRUE,smote_tomek,43,0.87353779118485,-0.6341927607990594,-5,0.3807199442490315,3,0,159,0,0,157,1
alpha,FALSE,Exclude Intensity,TRUE,TRUE,stratified,location,TRUE,None,21,0.6631209166420434,-0.6467575642134813,-4.1918189539797135,0.6655509730325107,1,1,8,32,128,86,0
