feature,importance
hour_cos,0.17225791728108986
PC1,0.09072396601362265
PC3,0.010712906397022751
PC2,0.00814988413734996
hour_sin,0.0032388877185591802
PC4,0.0008777473492031321
PC5,-9.216347166625856e-05
