parameter,value,interpreted_value
lr_log,-3.474298631439461,0.0003
l1_l2_log,-4.09589476683784,0.000080
dropout_rate,0.0,0.0000
batch_size_idx,4.0,256
optimizer_idx,2.0,rmsprop
hidden_size_1,256.0,256
hidden_size_2,164.0,164
hidden_size_3,0.0,0
hidden_size_4,47.0,47
use_batch_norm_num,1.0,TRUE
