parameter,value,interpreted_value
lr_log,-2.7528437589866055,0.0018
l1_l2_log,-5.0,0.000010
dropout_rate,0.0,0.0000
batch_size_idx,2.0,64
optimizer_idx,0.0,adam
hidden_size_1,197.0,197
hidden_size_2,256.0,256
hidden_size_3,256.0,256
hidden_size_4,111.0,111
use_batch_norm_num,1.0,TRUE
