trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.883683409436834,-2.4159109911009553,-3.1293450233496483,0.0,1,3,256,161,163,229,1
23,0.8801674277016742,-2.3536545433716873,-4.9500952738456245,0.0,2,3,256,96,256,0,1
22,0.8795585996955859,-2.2479494583103223,-5.0,0.0,3,0,256,45,0,0,1
44,0.8785083713850838,-4.0,-5.0,0.0,2,3,256,256,256,256,1
41,0.8757229832572299,-4.0,-3.2442272694254815,0.0066195601250221645,0,0,256,163,146,204,1
10,0.8746118721461188,-3.8247392417336212,-1.1524453863447643,0.04342795349516883,3,0,188,53,108,48,1
39,0.8740334855403349,-1.9317755298528216,-3.734262425151562,0.5053222439298504,1,3,256,39,65,196,1
45,0.873013698630137,-2.1671735842271236,-5.0,0.0,2,1,256,178,138,256,1
48,0.8707610350076103,-4.0,-5.0,0.0,0,3,256,256,256,256,1
38,0.8699391171993912,-3.139924106083696,-2.4501247322846993,0.0,4,0,256,0,0,49,1
19,0.8698630136986302,-3.216017161181047,-5.0,0.5508187837561364,2,0,256,256,161,0,1
27,0.8691019786910198,-2.390223845994661,-5.0,0.7,2,0,125,256,127,0,1
42,0.8686453576864537,-4.0,-1.0,0.0,4,3,256,256,0,256,1
13,0.8679452054794521,-3.2371964522099583,-5.0,0.0,0,0,256,0,256,256,1
50,0.8636377473363775,-2.4749030574269524,-5.0,0.0,0,3,256,248,210,256,1
3,0.8633181126331811,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.8626103500761035,-1.6649153732617226,-5.0,0.39187650802456697,3,3,256,256,13,256,1
47,0.8603044140030441,-2.0317673148178867,-4.7157170280247644,0.2539080775841511,2,3,256,134,0,0,1
43,0.8563470319634703,-2.2143010600904702,-5.0,0.0,0,0,256,256,0,7,1
49,0.8498934550989345,-2.925630296451072,-1.0,0.33125723507981647,3,0,256,256,0,218,1
30,0.8439802130898022,-2.285082436594679,-5.0,0.6324196552380864,4,2,116,184,71,5,0
4,0.843226788432268,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.8431506849315069,-4.0,-1.0,0.7,4,0,256,256,256,0,1
29,0.8414611872146118,-2.2517224391213073,-1.0,0.0,3,1,162,55,256,0,1
28,0.8413394216133943,-2.9249355874805674,-5.0,0.7,0,3,223,256,111,0,1
20,0.8403044140030442,-4.0,-5.0,0.7,4,0,256,256,256,0,1
9,0.83986301369863,-3.1893847097297816,-5.0,0.7,4,1,256,256,256,0,1
21,0.8339954337899543,-4.0,-1.3386549780726305,0.3970556441188378,4,3,208,0,191,6,0
26,0.8302283105022832,-3.5729054131913074,-5.0,0.0,2,0,219,0,0,0,1
2,0.8300456621004565,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.8270928462709284,-0.45373697952272307,-4.753958858658881,0.08341575324550958,4,2,252,242,256,84,1
35,0.8225190258751902,-1.9690763812045593,-5.0,0.6435369742558474,2,2,8,200,256,138,1
15,0.8221004566210044,-4.0,-5.0,0.7,0,0,8,256,256,256,1
6,0.8206240487062405,-0.3,-1.0,0.0,4,3,256,0,0,256,1
8,0.8191780821917808,-3.982473113641671,-1.5303285908021347,0.6987962642244246,0,2,15,209,251,166,1
46,0.8184474885844748,-4.0,-5.0,0.6594914780402016,0,2,256,230,0,0,0
40,0.814041095890411,-1.1202005915588544,-5.0,0.67532855447376,4,2,256,198,64,0,1
18,0.8073211567732117,-0.56260283103334,-4.637352213981687,0.44335121143034134,3,1,245,162,125,206,1
24,0.8072754946727548,-2.8945173156287005,-1.0,0.0,1,0,256,0,113,0,1
1,0.8062404870624048,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.799634703196347,-3.2426424891942243,-1.0,0.021545453780822843,0,3,251,23,242,165,0
16,0.7883713850837138,-2.9530256127445975,-1.0,0.47931545496858,4,3,24,0,256,256,1
32,0.7864764079147641,-3.1044553956396923,-5.0,0.48780077499524255,4,0,8,256,203,256,0
14,0.780882800608828,-4.0,-3.257189857029437,0.6731238263283286,2,0,24,91,169,101,0
34,0.7785083713850837,-2.6611904934835353,-1.0,0.26223192061258677,4,3,256,0,24,58,0
12,0.7645890410958904,-0.3,-1.0,0.0,4,0,211,0,0,256,1
5,0.6815449010654491,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
11,0.5585083713850837,-0.9391208787998857,-5.0,0.5229227404763563,1,3,8,248,223,221,0
17,0.5,-0.3,-2.4320351923702197,0.0,0,0,256,0,217,256,1
31,0.5,-0.3,-5.0,0.6147107201214529,4,2,194,140,22,52,0
