parameter,value,interpreted_value
lr_log,-2.1014829855467934,0.0079
l1_l2_log,-4.194754550198876,0.000064
dropout_rate,0.6087892834784296,0.6088
batch_size_idx,0.0,16
optimizer_idx,0.0,adam
hidden_size_1,256.0,256
hidden_size_2,0.0,0
hidden_size_3,0.0,0
hidden_size_4,211.0,211
use_batch_norm_num,1.0,TRUE
