parameter,value,interpreted_value
lr_log,-2.0141081407704373,0.0097
l1_l2_log,-1.0,0.100000
dropout_rate,0.7,0.7000
batch_size_idx,0.0,16
optimizer_idx,0.0,adam
hidden_size_1,256.0,256
hidden_size_2,63.0,63
hidden_size_3,256.0,256
hidden_size_4,256.0,256
use_batch_norm_num,1.0,TRUE
