"feature","mean","median","sd","min","max","q25","q75"
"PHO",182.275040560616,15.03519556682,979.742817684247,-0.83979346122,36439.5788892421,0,105.779056774165
"MEDI",153.719072546235,7.53510161272,839.826959025003,-2.279088361901,29972.6384370497,0,71.498957071354
"SC",138.552428612332,5.6782510839512,728.974472763644,-5.1723923709433,24682.2257631336,0,61.8927361337463
"MC",171.185355066799,12.5321712652934,923.890254560317,-0.9480368185446,33922.4490650257,0,94.7042941602499
"LC",179.971385655336,14.950899114501,967.415690777728,-0.6184068311108,36028.1057635263,0,104.126302822846
"RH",155.402449525416,8.6101060245675,847.349518693726,-1.934950365723,30433.0472710716,0,75.4682796245775
