parameter,value,interpreted_value
lr_log,-3.1121402933935114,0.0008
l1_l2_log,-5.0,0.000010
dropout_rate,0.0,0.0000
batch_size_idx,4.0,256
optimizer_idx,1.0,sgd
hidden_size_1,143.0,143
hidden_size_2,202.0,202
hidden_size_3,256.0,256
hidden_size_4,90.0,90
use_batch_norm_num,1.0,TRUE
