parameter,value,interpreted_value
lr_log,-0.3,0.5012
l1_l2_log,-5.0,0.000010
dropout_rate,0.21238350997284836,0.2124
batch_size_idx,0.0,16
optimizer_idx,3.0,adagrad
hidden_size_1,50.0,50
hidden_size_2,108.0,108
hidden_size_3,186.0,186
hidden_size_4,15.0,15
use_batch_norm_num,1.0,TRUE
