"Id","Intensity_mean","norm_SC_mean","norm_MEDI_mean","norm_LC_mean","norm_RH_mean","norm_PHO_mean","Intensity_sd","norm_SC_sd","norm_MEDI_sd","norm_LC_sd","norm_RH_sd","norm_PHO_sd"
"201",1268.722780712,0.327068843833357,0.372974825231993,0.443148813618742,0.362809832128642,0.452777979596942,1813.85774132687,0.14376424418569,0.092668402970668,0.099960807955515,0.0699103650249982,0.0719718715743259
"202",175.504130463499,0.285015769292274,0.32744752556271,0.484317407608938,0.345428821148287,0.483374863699328,327.579316044359,0.144353724165943,0.0774649319810749,0.0849669459728737,0.0579188409999068,0.0781078670353298
"204",2645.30427144873,0.315216974800673,0.376685839599304,0.452351774148871,0.370332541108769,0.457455254158745,7943.63868368674,0.0944541700173768,0.083986370928266,0.0874290660091752,0.0584281881474538,0.0657611412775621
"205",1225.58052671156,0.312856847173405,0.360306896448464,0.457123194201307,0.362775722189889,0.466813010989664,2657.33399238054,0.105001953328716,0.0852247794420336,0.0841193736929807,0.0605707753482891,0.0661409612528868
"206",126.128174057308,0.262939553500847,0.327654437178501,0.496785590614507,0.315273002151282,0.500081088216134,201.97032588127,0.117744392757236,0.111278879892893,0.130980777371441,0.0812824193331719,0.0859438110633447
"208",401.325440320544,0.27318969404,0.325130523018616,0.474857283980957,0.34274593487556,0.476006568704341,1107.07271166164,0.184589024742105,0.113278182788352,0.0936019017287088,0.0859555133553485,0.0925708226872113
"209",493.571036394366,0.268100935201339,0.340439757005372,0.475962792908384,0.358449653673899,0.481424808795955,866.048495980968,0.129713993093487,0.0852006413183817,0.0880161745078721,0.0605204214072228,0.0737759841064164
"210",1040.25107718826,0.32289030378151,0.357593994445372,0.450994085898104,0.365618199600806,0.453295636659171,1635.05686137536,0.136325367351732,0.10736611783582,0.0749099598274286,0.0823590781590881,0.0842530143566036
"212",853.787606651499,0.282270086445859,0.326772461288005,0.490400727147546,0.345868017264713,0.4963653781194,1927.2208332066,0.0927542290671046,0.0660912884779305,0.0587475813476668,0.0517381366203544,0.0560282807274049
"213",337.680082412904,0.302815791135332,0.358011416028113,0.458934295905672,0.354585464371976,0.471316367816292,826.613952888483,0.10875752141643,0.0909293326769642,0.102660183978225,0.0615414099368796,0.0751349168519938
"214",640.638623167582,0.278935592094171,0.319542856527889,0.481217765808737,0.333159038596357,0.480438098730472,1138.10876611178,0.184418681481113,0.109583556084515,0.0867748441137188,0.0980466547892711,0.0874583846363318
"215",849.07321460098,0.268308978327208,0.325870564670948,0.490651674593417,0.346037857358104,0.493975172526461,3624.15679176479,0.0977580418860842,0.0909073623205312,0.0737747301781422,0.0721900998780055,0.0642346042253501
"216",961.744985969674,0.251030474845136,0.302891542278658,0.515468594509083,0.307915731922114,0.510069779771993,4549.82279889325,0.15953974716125,0.113959816342441,0.104557788583855,0.10994450984921,0.0823923399720288
"218",244.157827334529,0.275668112721921,0.323694045337841,0.486673751387797,0.343953855296341,0.492331628412625,309.298228190019,0.13325727012103,0.0858865026740175,0.0683211169789316,0.0645349115901779,0.0638268914482527
"219",877.85038413427,0.262870714890739,0.316356690549258,0.474691600760116,0.326761021088603,0.476997661775946,4962.81745924221,0.197956595010506,0.143929416850854,0.124253832829977,0.114748912451941,0.105947467219177
"221",201.365263722545,0.261177758081165,0.312804654748283,0.503644915517685,0.3245715321221,0.508931174165264,393.393724012683,0.117165166490935,0.0845385883270614,0.0810651365378998,0.070183231263927,0.06632556801742
"222",207.475978050224,0.260871068424962,0.31289546394024,0.494687662022206,0.323543160334721,0.501892269182742,1143.67091168708,0.143275136266527,0.095530949990359,0.0988967062297595,0.0595128251973132,0.0741575571992735
"223",325.052809471849,0.291119812134982,0.322646008985681,0.483518053249656,0.32575104960161,0.493744807752564,1552.5913948218,0.129586545932988,0.0990015739080886,0.0977223301827067,0.0689204135326649,0.074654499906087
"224",232.373117070104,0.264899671436901,0.30672956205156,0.499906925489875,0.325691639320247,0.51077816912163,695.191765819256,0.0907983251218741,0.0818366209747765,0.0703994755504825,0.0618127454388183,0.0579177483375116
"225",225.032415475535,0.268029282375888,0.310655103409857,0.50322727743921,0.335719791522468,0.507816471466992,480.626158479493,0.0839422537353304,0.0612496948782792,0.0544792352245469,0.0462640438973281,0.045072929553255
"226",126.03471366604,0.159726575486289,0.266163092951597,0.534563534468382,0.296206975025829,0.532402946197255,231.006357517167,0.176801400849764,0.105312370575696,0.092320765399934,0.0748365397407736,0.0672876695183492
"227",162.840824804411,0.233763190253323,0.272309705602176,0.508860483991834,0.294949186430938,0.520947476570548,256.152494099505,0.139715186943744,0.119270370106201,0.0955698020227794,0.0948719052850183,0.0958596026232187
"228",305.840441011228,0.224077085582422,0.289200716829838,0.511687812054133,0.309301481051918,0.513320984179206,516.185252880103,0.150279769706823,0.119149338233293,0.101602243016124,0.0950868757932685,0.0925326865644936
"229",246.59207490865,0.237953217144973,0.279220350705358,0.526903184426132,0.304029206494617,0.530905295671677,257.912172840078,0.103767481556397,0.0659092224369665,0.0617418012807671,0.0496522647828805,0.0547930713068255
"230",192.623785006727,0.247407777262852,0.27359317293165,0.482267850978162,0.275106167848382,0.488795502363748,341.291564780765,0.264004281742015,0.170810050177173,0.143901611594353,0.135648201271002,0.131544763265384
"231",150.939291110061,0.261097628364873,0.320270067891122,0.497251743285835,0.330135042999051,0.504893489591548,263.764529620979,0.119026815589894,0.0875743626297876,0.0892935301829914,0.0621710670592258,0.0710477602512564
