parameter,value,interpreted_value
lr_log,-1.0070028700586913,0.0984
l1_l2_log,-5.0,0.000010
dropout_rate,0.20435180966544506,0.2044
batch_size_idx,3.0,128
optimizer_idx,0.0,adam
hidden_size_1,47.0,47
hidden_size_2,141.0,141
hidden_size_3,72.0,72
hidden_size_4,79.0,79
use_batch_norm_num,1.0,TRUE
