parameter,value,interpreted_value
lr_log,-1.7209340940507598,0.0190
l1_l2_log,-4.676849544007781,0.000021
dropout_rate,0.5137216217213132,0.5137
batch_size_idx,4.0,256
optimizer_idx,0.0,adam
hidden_size_1,169.0,169
hidden_size_2,256.0,256
hidden_size_3,0.0,0
hidden_size_4,256.0,256
use_batch_norm_num,1.0,TRUE
