parameter,value,interpreted_value
lr_log,-2.940371336413146,0.0011
l1_l2_log,-5.0,0.000010
dropout_rate,0.16551203833100492,0.1655
batch_size_idx,4.0,256
optimizer_idx,0.0,adam
hidden_size_1,256.0,256
hidden_size_2,0.0,0
hidden_size_3,256.0,256
hidden_size_4,11.0,11
use_batch_norm_num,1.0,TRUE
